id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;district;max_floor
4032;595000;43.27;2;2;560;balkon;garaż/miejsce parkingowe;2012;do zamieszkania;Białołęka;2
4033;1557000;67.7;3;1;1100;balkon;garaż/miejsce parkingowe;2014;;Ochota;6
4034;1650000;80.5;3;5;980;balkon;garaż/miejsce parkingowe;2005;do zamieszkania;Mokotów;13
4035;933000;46.0;2;;600;balkon;;;;Śródmieście;
4036;1920000;74.47;3;4;;;;;do zamieszkania;Śródmieście;5
4037;;49.0;3;4;;balkon;garaż/miejsce parkingowe;;do wykończenia;Białołęka;8
4038;1950000;73.08;3;8;980;balkon;garaż/miejsce parkingowe;2014;do zamieszkania;Żoliborz;8
4039;2070000;84.2;3;2;1250;taras;garaż/miejsce parkingowe;2009;do zamieszkania;Bielany;6
4040;;65.19;3;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Wawer;5
4041;1386824;60.56;3;;;;garaż/miejsce parkingowe;;;Wola;
4042;903000;42.0;2;4;900;;;1940;do remontu;Mokotów;5
4043;1430000;69.0;3;6;;balkon;garaż/miejsce parkingowe;2002;do zamieszkania;Ursynów;10
4044;1065200;53.26;2;4;815;balkon;;1960;;Śródmieście;4
4045;1080000;54.0;2;2;440;balkon;garaż/miejsce parkingowe;2012;do zamieszkania;Ursynów;6
4046;1764000;72.0;3;5;700;balkon;garaż/miejsce parkingowe;2010;do zamieszkania;Ursynów;10
4047;439000;30.5;1;2;570;ogródek;;1974;do remontu;Targówek;10
4048;920000;50.63;2;0;;balkon;;1960;do zamieszkania;Śródmieście;3
4049;819000;60.0;3;0;;;;1981;;Praga-Południe;8
4050;759000;47.86;2;3;575;balkon;;1959;do remontu;Mokotów;4
4051;600000;38.0;2;1;650;balkon;;;;Bielany;4
4052;990000;54.94;2;1;600;balkon, taras;;2008;do zamieszkania;Bemowo;10
4053;950000;56.0;3;2;750;balkon;garaż/miejsce parkingowe;2013;;Bemowo;3
4054;832000;52.0;2;2;950;;garaż/miejsce parkingowe;2002;do zamieszkania;Ursynów;6
4055;1349000;86.42;3;4;800;balkon;garaż/miejsce parkingowe;2007;do zamieszkania;Ursynów;7
