id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;address
10040;940 000 zł;26,5 m²;1;3/10;500 zł;balkon;;brak informacji;;ul. Dzielna, Nowolipki, Wola, Warszawa, mazowieckie
10041;1 050 000 zł;60 m²;3;3/10;850 zł;balkon;;1977;;ul. Dzika, Muranów, Śródmieście, Warszawa, mazowieckie
10042;799 000 zł;50 m²;3;10/10;;balkon;;brak informacji;;ul. Wiartel, Służew, Mokotów, Warszawa, mazowieckie
10043;749 000 zł;46,7 m²;3;1/4;600 zł;balkon;;brak informacji;;ul. Jana Kochanowskiego, Piaski, Bielany, Warszawa, mazowieckie
10044;653 000 zł;40,13 m²;2;1/6;;balkon;garaż/miejsce parkingowe;2026;do wykończenia;Wschodu Słońca, Raków, Włochy, Warszawa, mazowieckie
10045;791 000 zł;53,74 m²;3;3/6;;balkon;garaż/miejsce parkingowe;2026;do wykończenia;Wschodu Słońca, Raków, Włochy, Warszawa, mazowieckie
10046;8 390 000 zł;55 m²;3;3/10;895,62 zł;balkon;;1969;;ul. Elekcyjna, Ulrychów, Wola, Warszawa, mazowieckie
10047;Zapytaj o cenę;68,25 m²;3;5/7;;;garaż/miejsce parkingowe;;do wykończenia;ul. Aleksandra Kotsisa, Pelcowizna, Praga-Północ, Warszawa, mazowieckie
10048;Zapytaj o cenę;42,95 m²;2;5/7;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie
10049;720 000 zł;47,7 m²;2;3/3;600 zł;balkon;garaż/miejsce parkingowe;1961;do wykończenia;ul. Grabowska, Odolany, Wola, Warszawa, mazowieckie
10050;646 100 zł;30,89 m²;1;5/5;;;;2024;do wykończenia;ul. Ostrobramska, Gocław, Praga-Południe, Warszawa, mazowieckie
10051;2 800 000 zł;122 m²;4;8/16;2 600 zł;balkon;garaż/miejsce parkingowe;1999;do zamieszkania;al. Aleje Jerozolimskie, Stara Ochota, Ochota, Warszawa, mazowieckie
10052;2 299 000 zł;105 m²;4;2/8;;;;brak informacji;;ul. Ludwiki, Czyste, Wola, Warszawa, mazowieckie
10053;879 000 zł;46,8 m²;2;3/10;511 zł;balkon;;brak informacji;do zamieszkania;ul. Inflancka, Muranów, Śródmieście, Warszawa, mazowieckie
10054;2 109 000 zł;111 m²;4;parter/3;1 460 zł;taras;;2010;;Zawady, Wilanów, Warszawa, mazowieckie
10055;1 200 000 zł;66,7 m²;3;2/7;900 zł;balkon;garaż/miejsce parkingowe;2023;do wykończenia;ul. Wynalazek, Służewiec, Mokotów, Warszawa, mazowieckie
10056;2 050 000 zł;104 m²;4;3/4;;balkon;garaż/miejsce parkingowe;2000;do zamieszkania;ul. Równa, Nowa Praga, Praga-Północ, Warszawa, mazowieckie
10057;506 340 zł;28,13 m²;1;parter/7;;ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Wybrzeże Puckie, Pelcowizna, Praga-Północ, Warszawa, mazowieckie
10058;610 000 zł;36,1 m²;2;6/6;399 zł;balkon;;1979;do zamieszkania;Gocławek, Praga-Południe, Warszawa, mazowieckie
10059;1 150 000 zł;70,91 m²;3;parter/4;650 zł;taras;garaż/miejsce parkingowe;brak informacji;do zamieszkania;al. Aleja Rzeczypospolitej, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie
10060;Zapytaj o cenę;92,08 m²;4;2/5;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie
